date,time,sensor_id,direction_1,direction_2,total_of_directions,date_time
2022/11/05,22:22,3,17,11,28,2022/11/05 10:22:00 PM
2022/11/05,22:27,42,0,1,1,2022/11/05 10:27:00 PM
2022/11/05,22:16,23,0,1,1,2022/11/05 10:16:00 PM
2022/11/05,22:29,49,3,0,3,2022/11/05 10:29:00 PM
2022/11/05,22:29,63,2,11,13,2022/11/05 10:29:00 PM
2022/11/05,22:19,28,0,33,33,2022/11/05 10:19:00 PM
2022/11/05,22:30,62,0,3,3,2022/11/05 10:30:00 PM
2022/11/05,22:19,37,13,1,14,2022/11/05 10:19:00 PM
2022/11/05,22:31,24,1,2,3,2022/11/05 10:31:00 PM
2022/11/05,22:26,58,3,6,9,2022/11/05 10:26:00 PM
2022/11/05,22:27,66,13,6,19,2022/11/05 10:27:00 PM
2022/11/05,22:21,35,54,25,79,2022/11/05 10:21:00 PM
2022/11/05,22:21,12,0,5,5,2022/11/05 10:21:00 PM
2022/11/05,22:19,63,2,2,4,2022/11/05 10:19:00 PM
2022/11/05,22:32,71,1,0,1,2022/11/05 10:32:00 PM
2022/11/05,22:23,35,53,19,72,2022/11/05 10:23:00 PM
2022/11/05,22:24,61,8,0,8,2022/11/05 10:24:00 PM
2022/11/05,22:33,14,8,1,9,2022/11/05 10:33:00 PM
2022/11/05,22:28,63,6,2,8,2022/11/05 10:28:00 PM
2022/11/05,22:26,23,0,4,4,2022/11/05 10:26:00 PM
2022/11/05,22:27,61,4,2,6,2022/11/05 10:27:00 PM
2022/11/05,22:24,43,3,0,3,2022/11/05 10:24:00 PM
2022/11/05,22:20,59,4,6,10,2022/11/05 10:20:00 PM
2022/11/05,22:32,62,0,5,5,2022/11/05 10:32:00 PM
2022/11/05,22:19,50,1,1,2,2022/11/05 10:19:00 PM
2022/11/05,22:25,19,10,4,14,2022/11/05 10:25:00 PM
2022/11/05,22:15,61,2,5,7,2022/11/05 10:15:00 PM
2022/11/05,22:19,9,2,0,2,2022/11/05 10:19:00 PM
2022/11/05,22:31,59,3,0,3,2022/11/05 10:31:00 PM
2022/11/05,22:31,54,5,1,6,2022/11/05 10:31:00 PM
2022/11/05,22:28,12,0,1,1,2022/11/05 10:28:00 PM
2022/11/05,22:27,77,1,0,1,2022/11/05 10:27:00 PM
2022/11/05,22:23,6,7,10,17,2022/11/05 10:23:00 PM
2022/11/05,22:34,6,15,6,21,2022/11/05 10:34:00 PM
2022/11/05,22:22,19,5,13,18,2022/11/05 10:22:00 PM
2022/11/05,22:31,67,6,4,10,2022/11/05 10:31:00 PM
2022/11/05,22:25,61,1,3,4,2022/11/05 10:25:00 PM
2022/11/05,22:33,63,15,0,15,2022/11/05 10:33:00 PM
2022/11/05,22:21,84,14,2,16,2022/11/05 10:21:00 PM
2022/11/05,22:25,3,11,15,26,2022/11/05 10:25:00 PM
2022/11/05,22:16,31,3,6,9,2022/11/05 10:16:00 PM
2022/11/05,22:27,2,0,2,2,2022/11/05 10:27:00 PM
2022/11/05,22:29,14,6,1,7,2022/11/05 10:29:00 PM
2022/11/05,22:20,51,1,0,1,2022/11/05 10:20:00 PM
2022/11/05,22:17,19,8,12,20,2022/11/05 10:17:00 PM
2022/11/05,22:33,3,19,13,32,2022/11/05 10:33:00 PM
2022/11/05,22:28,57,1,2,3,2022/11/05 10:28:00 PM
2022/11/05,22:30,20,4,0,4,2022/11/05 10:30:00 PM
2022/11/05,22:28,54,1,2,3,2022/11/05 10:28:00 PM
2022/11/05,22:25,63,5,0,5,2022/11/05 10:25:00 PM
2022/11/05,22:32,39,4,0,4,2022/11/05 10:32:00 PM
2022/11/05,22:25,18,0,4,4,2022/11/05 10:25:00 PM
2022/11/05,22:20,14,21,4,25,2022/11/05 10:20:00 PM
2022/11/05,22:20,42,2,0,2,2022/11/05 10:20:00 PM
2022/11/05,22:31,45,4,15,19,2022/11/05 10:31:00 PM
2022/11/05,22:30,84,11,4,15,2022/11/05 10:30:00 PM
2022/11/05,22:30,65,0,8,8,2022/11/05 10:30:00 PM
2022/11/05,22:20,69,2,0,2,2022/11/05 10:20:00 PM
2022/11/05,22:25,23,2,2,4,2022/11/05 10:25:00 PM
2022/11/05,22:27,47,0,15,15,2022/11/05 10:27:00 PM
2022/11/05,22:23,18,1,0,1,2022/11/05 10:23:00 PM
2022/11/05,22:27,56,4,3,7,2022/11/05 10:27:00 PM
2022/11/05,22:26,66,6,1,7,2022/11/05 10:26:00 PM
2022/11/05,22:24,48,3,0,3,2022/11/05 10:24:00 PM
2022/11/05,22:27,51,3,3,6,2022/11/05 10:27:00 PM
2022/11/05,22:26,2,4,0,4,2022/11/05 10:26:00 PM
2022/11/05,22:22,27,0,3,3,2022/11/05 10:22:00 PM
2022/11/05,22:28,58,3,0,3,2022/11/05 10:28:00 PM
2022/11/05,22:21,36,8,8,16,2022/11/05 10:21:00 PM
2022/11/05,22:25,2,0,7,7,2022/11/05 10:25:00 PM
2022/11/05,22:30,77,2,1,3,2022/11/05 10:30:00 PM
2022/11/05,22:26,42,2,0,2,2022/11/05 10:26:00 PM
2022/11/05,22:22,66,8,12,20,2022/11/05 10:22:00 PM
2022/11/05,22:29,70,1,0,1,2022/11/05 10:29:00 PM
2022/11/05,22:24,3,22,25,47,2022/11/05 10:24:00 PM
2022/11/05,22:21,41,7,20,27,2022/11/05 10:21:00 PM
2022/11/05,22:31,77,1,0,1,2022/11/05 10:31:00 PM
2022/11/05,22:23,41,21,12,33,2022/11/05 10:23:00 PM
2022/11/05,22:27,69,1,0,1,2022/11/05 10:27:00 PM
2022/11/05,22:21,5,7,10,17,2022/11/05 10:21:00 PM
2022/11/05,22:21,8,5,3,8,2022/11/05 10:21:00 PM
2022/11/05,22:29,45,5,7,12,2022/11/05 10:29:00 PM
2022/11/05,22:33,47,10,5,15,2022/11/05 10:33:00 PM
2022/11/05,22:26,20,11,10,21,2022/11/05 10:26:00 PM
2022/11/05,22:24,65,3,1,4,2022/11/05 10:24:00 PM
2022/11/05,22:21,47,3,6,9,2022/11/05 10:21:00 PM
2022/11/05,22:19,87,3,0,3,2022/11/05 10:19:00 PM
2022/11/05,22:23,21,18,12,30,2022/11/05 10:23:00 PM
2022/11/05,22:24,20,4,2,6,2022/11/05 10:24:00 PM
2022/11/05,22:19,56,8,7,15,2022/11/05 10:19:00 PM
2022/11/05,22:21,31,10,3,13,2022/11/05 10:21:00 PM
2022/11/05,22:20,18,0,3,3,2022/11/05 10:20:00 PM
2022/11/05,22:18,47,9,13,22,2022/11/05 10:18:00 PM
2022/11/05,22:24,36,1,0,1,2022/11/05 10:24:00 PM
2022/11/05,22:20,84,9,16,25,2022/11/05 10:20:00 PM
2022/11/05,22:28,72,10,12,22,2022/11/05 10:28:00 PM
2022/11/05,22:32,54,1,3,4,2022/11/05 10:32:00 PM
2022/11/05,22:20,21,6,6,12,2022/11/05 10:20:00 PM
2022/11/05,22:29,72,3,14,17,2022/11/05 10:29:00 PM
2022/11/05,22:22,63,2,7,9,2022/11/05 10:22:00 PM
2022/11/05,22:26,24,4,2,6,2022/11/05 10:26:00 PM
2022/11/05,22:22,12,4,3,7,2022/11/05 10:22:00 PM
2022/11/05,22:15,37,2,7,9,2022/11/05 10:15:00 PM
2022/11/05,22:21,23,4,0,4,2022/11/05 10:21:00 PM
2022/11/05,22:28,67,3,1,4,2022/11/05 10:28:00 PM
2022/11/05,22:24,51,0,6,6,2022/11/05 10:24:00 PM
2022/11/05,22:32,12,0,6,6,2022/11/05 10:32:00 PM
2022/11/05,22:30,6,21,10,31,2022/11/05 10:30:00 PM
2022/11/05,22:30,35,14,20,34,2022/11/05 10:30:00 PM
2022/11/05,22:28,87,0,3,3,2022/11/05 10:28:00 PM
2022/11/05,22:20,79,2,3,5,2022/11/05 10:20:00 PM
2022/11/05,22:28,56,5,3,8,2022/11/05 10:28:00 PM
2022/11/05,22:27,14,1,3,4,2022/11/05 10:27:00 PM
2022/11/05,22:31,12,0,5,5,2022/11/05 10:31:00 PM
2022/11/05,22:26,69,0,1,1,2022/11/05 10:26:00 PM
2022/11/05,22:28,20,21,5,26,2022/11/05 10:28:00 PM
2022/11/05,22:31,28,5,21,26,2022/11/05 10:31:00 PM
2022/11/05,22:33,1,6,7,13,2022/11/05 10:33:00 PM
2022/11/05,22:23,36,3,3,6,2022/11/05 10:23:00 PM
2022/11/05,22:32,76,1,0,1,2022/11/05 10:32:00 PM
2022/11/05,22:31,36,2,3,5,2022/11/05 10:31:00 PM
2022/11/05,22:20,62,0,4,4,2022/11/05 10:20:00 PM
2022/11/05,22:16,21,18,12,30,2022/11/05 10:16:00 PM
2022/11/05,22:26,56,5,4,9,2022/11/05 10:26:00 PM
2022/11/05,22:32,45,2,10,12,2022/11/05 10:32:00 PM
2022/11/05,22:26,70,0,2,2,2022/11/05 10:26:00 PM
2022/11/05,22:27,54,0,1,1,2022/11/05 10:27:00 PM
2022/11/05,22:24,46,2,2,4,2022/11/05 10:24:00 PM
2022/11/05,22:22,72,1,3,4,2022/11/05 10:22:00 PM
2022/11/05,22:21,19,6,6,12,2022/11/05 10:21:00 PM
